"DateAware","DateSubmitted","DataBreachCause","DateStart","DateEnd","Name","Id","CyberattackType","WashingtoniansAffected","IndustryType","BusinessType","Year","YearText","WashingtoniansAffectedRange","BreachLifecycleRange","DaysToContainBreach","DaysToIdentifyBreach","DaysBreachLifecycle","DiscoveredInProgress","DaysOfExposure","DaysElapsedBetweenEndAndDiscovery","EndedOnDayDiscovered","DaysElapsedBeforeNotification","DaysOfExposureRange","EntityState"
"2023 Jan 03 12:00:00 AM","2023 Mar 03 12:00:00 AM","Unauthorized Access","2019 Oct 12 12:00:00 AM","2023 Mar 01 12:00:00 AM","Cerebral, Inc","14,856",,"86,669","Health",,"2,023","2023","50,000-999,999","500+","57","1,179","1,236","true","1,236",,"false","59","500+","DE"
"2022 Oct 12 12:00:00 AM","2023 Mar 02 12:00:00 AM","Cyberattack","2022 May 26 12:00:00 AM","2023 Oct 12 12:00:00 AM","Squishable.com, Inc.","14,855","Malware","671","Business","Retail","2,023","2023","500-999","500+","365","139","504","true","504",,"false","141","500+","NY"
"2023 Feb 03 12:00:00 AM","2023 Feb 28 12:00:00 AM","Cyberattack","2023 Jan 30 12:00:00 AM","2023 Jan 31 12:00:00 AM","Hatch Bank","14,854","Other","2,580","Finance",,"2,023","2023","1,000-9,999","1-99","0","4","4","false","1","3","false","25","1-99","CA"
"2023 Jan 25 12:00:00 AM","2023 Feb 24 12:00:00 AM","Cyberattack","2022 Nov 27 12:00:00 AM","2022 Nov 27 12:00:00 AM","Crystal Bay Casino","14,853","Ransomware","1,480","Business","Entertainment","2,023","2023","1,000-9,999","1-99","0","59","59","false","0","59","false","30","0","NV"
"2023 Feb 10 12:00:00 AM","2023 Mar 05 12:00:00 AM","Cyberattack","2023 Jan 28 12:00:00 AM","2023 Jan 30 12:00:00 AM","Premera Blue Cross","14,851","Other","36,211","Health",,"2,023","2023","10,000-49,999","1-99","0","13","13","false","2","11","false","23","1-99","WA"
"2022 Feb 16 12:00:00 AM","2023 Feb 17 12:00:00 AM","Theft or Mistake","2022 Feb 04 12:00:00 AM","2022 Feb 04 12:00:00 AM","University of Washington","14,768",,"534","Education",,"2,023","2023","500-999","1-99","0","12","12","false","0","12","false","366","0","WA"
"2022 Nov 12 12:00:00 AM","2023 Feb 17 12:00:00 AM","Cyberattack","2022 Nov 09 12:00:00 AM","2022 Nov 13 12:00:00 AM","Rancho Mesquite Casino, Inc.","14,663","Ransomware","4,368","Business","Entertainment","2,023","2023","1,000-9,999","1-99","1","3","4","true","4",,"false","97","1-99","NV"
"2023 Jan 31 12:00:00 AM","2023 Oct 06 12:00:00 AM","Cyberattack","2023 Jan 16 12:00:00 AM","2023 Jan 31 12:00:00 AM","Edmonds School District No. 15","14,660","Other","143,536","Education",,"2,024","2024","50,000-999,999","1-99","0","15","15","true","15",,"true","248","1-99","WA"
"2024 Aug 04 12:00:00 AM","2025 May 21 12:00:00 AM","Cyberattack","2024 Jul 19 12:00:00 AM","2024 Aug 04 12:00:00 AM","Alera Group, Inc.","19,134","Ransomware","27,901","Business","Other","2,025","2025","10,000-49,999","1-99","0","16","16","true","16",,"true","290","1-99","IL"
"2025 Jan 09 12:00:00 AM","2025 May 22 12:00:00 AM","Cyberattack","2024 Aug 14 12:00:00 AM","2025 Jan 17 12:00:00 AM","Washington State Opportunity Scholarship Foundation ","19,143","Phishing","16,560","Non-Profit/Charity",,"2,025","2025","10,000-49,999","100-199","8","148","156","true","156",,"false","133","100-199","WA"
"2025 Mar 10 12:00:00 AM","2025 May 23 12:00:00 AM","Cyberattack","2024 Oct 23 12:00:00 AM","2024 Oct 23 12:00:00 AM","Washington Gastroenterology","19,180","Other","556,349","Health",,"2,025","2025","50,000-999,999","100-199","0","138","138","false","0","138","false","74","0","WA"
"2024 Aug 06 12:00:00 AM","2025 May 23 12:00:00 AM","Cyberattack","2024 Jul 19 12:00:00 AM","2024 Aug 06 12:00:00 AM","Kronick Moskovitz Tiedemann & Girard","19,181","Malware","9,892","Business","Legal","2,025","2025","1,000-9,999","1-99","0","18","18","true","18",,"true","290","1-99","CA"
"2025 Apr 01 12:00:00 AM","2025 May 27 12:00:00 AM","Cyberattack","2024 Dec 25 12:00:00 AM","2024 Dec 25 12:00:00 AM","LexisNexis Risk Solutions","19,182","Other","17,430","Business","Other","2,025","2025","10,000-49,999","1-99","0","97","97","false","0","97","false","56","0","GA"
"2022 May 31 12:00:00 AM","2023 Feb 15 12:00:00 AM","Cyberattack","2022 Apr 04 12:00:00 AM","2022 May 31 12:00:00 AM","Asotin County Public Facilities District","14,637","Ransomware","1,090","Government",,"2,023","2023","1,000-9,999","1-99","0","57","57","true","57",,"true","260","1-99","WA"
"2022 Dec 12 12:00:00 AM","2023 Feb 13 12:00:00 AM","Cyberattack","2022 Dec 12 12:00:00 AM","2022 Dec 12 12:00:00 AM","Evergreen Treatment Services","14,636","Ransomware","11,247","Non-Profit/Charity",,"2,023","2023","10,000-49,999","0","0","0","0","true","0",,"true","63","0","WA"
"2022 Dec 18 12:00:00 AM","2023 Feb 09 12:00:00 AM","Unauthorized Access","2023 Jan 04 12:00:00 AM","2023 Jan 04 12:00:00 AM","Northwest Mothers Milk Bank","14,634",,"1,153","Non-Profit/Charity",,"2,023","2023","1,000-9,999","0","17","-17","0","true","0",,"false","53","0","OR"
"2022 Dec 15 12:00:00 AM","2023 Feb 06 12:00:00 AM","Cyberattack","2022 Dec 13 12:00:00 AM","2022 Dec 15 12:00:00 AM","Highmark","14,632","Phishing","1,980","Health",,"2,023","2023","1,000-9,999","1-99","0","2","2","true","2",,"true","53","1-99","PA"
"2023 Jan 09 12:00:00 AM","2023 Feb 05 12:00:00 AM","Theft or Mistake","2022 Aug 25 12:00:00 AM","2023 Jan 13 12:00:00 AM","Mutual of America Life Insurance Company","14,630",,"1,043","Finance",,"2,023","2023","1,000-9,999","100-199","4","137","141","true","141",,"false","27","100-199","NY"
"2022 Dec 05 12:00:00 AM","2023 Feb 03 12:00:00 AM","Cyberattack","2022 Nov 14 12:00:00 AM","2022 Nov 14 12:00:00 AM","Rise Interactive Media & Analytics, LLC","14,629","Ransomware","711","Business","Other","2,023","2023","500-999","1-99","0","21","21","false","0","21","false","60","0","IL"
"2023 Jan 17 12:00:00 AM","2023 Feb 16 12:00:00 AM","Cyberattack","2022 Jul 12 12:00:00 AM","2023 Jan 17 12:00:00 AM","Integrative Dentistry","14,628","Other","2,281","Health",,"2,023","2023","1,000-9,999","100-199","0","189","189","true","189",,"true","30","100-199","WA"
"2022 Mar 01 12:00:00 AM","2022 Sep 03 12:00:00 AM","Cyberattack","2020 Sep 18 12:00:00 AM","2022 Feb 03 12:00:00 AM","Ballistic Products, Inc.","14,550","Malware","1,242","Business","Retail","2,023","2023","1,000-9,999","500+","0","529","529","false","503","26","false","186","500+",
"2022 Nov 26 12:00:00 AM","2023 Jan 25 12:00:00 AM","Cyberattack","2022 Nov 24 12:00:00 AM","2022 Nov 26 12:00:00 AM","Quality Behavioral Health","14,547","Ransomware","2,752","Health",,"2,023","2023","1,000-9,999","1-99","0","2","2","true","2",,"true","60","1-99","WA"
